hand,height,player,age,ace,df,bpSaved
R,196.0,101184 - Damir Buljevic,26 ~ 30,6.0,3.0,0.69
L,188.0,101185 - Mark Woodforde,21 ~ 25,3.3333333333333335,2.4444444444444446,0.49444444444444435
L,188.0,101185 - Mark Woodforde,26 ~ 30,4.192825112107624,3.376681614349776,0.5702690582959641
L,188.0,101185 - Mark Woodforde,31 ~ 35,5.3625,3.75625,0.5922499999999999
R,185.0,101190 - Darren Cahill,21 ~ 25,3.9523809523809526,2.761904761904762,0.54
R,185.0,101190 - Darren Cahill,26 ~ 30,3.6666666666666665,2.888888888888889,0.4555555555555555
R,180.0,101191 - Richey Reneberg,21 ~ 25,2.8333333333333335,2.5833333333333335,0.46916666666666673
R,180.0,101191 - Richey Reneberg,26 ~ 30,4.43265306122449,2.4693877551020407,0.5582448979591836
R,180.0,101191 - Richey Reneberg,31 ~ 35,5.196261682242991,3.0654205607476634,0.5501869158878504
R,175.0,101195 - Amos Mansdorf,21 ~ 25,2.75,2.8333333333333335,0.6333333333333334
R,175.0,101195 - Amos Mansdorf,26 ~ 30,3.8820224719101124,2.134831460674157,0.5815168539325843
R,185.0,101196 - Derrick Rostagno,21 ~ 25,5.636363636363637,2.909090909090909,0.5204545454545454
R,185.0,101196 - Derrick Rostagno,26 ~ 30,5.7299270072992705,3.576642335766423,0.5512408759124088
R,185.0,101196 - Derrick Rostagno,31 ~ 35,6.0,5.0,0.6166666666666667
L,185.0,101205 - Grant Connell,21 ~ 25,4.818181818181818,2.227272727272727,0.6172727272727273
L,185.0,101205 - Grant Connell,26 ~ 30,5.3061224489795915,3.63265306122449,0.6089795918367347
R,185.0,101214 - Bryan Shelton,21 ~ 25,9.307692307692308,5.3076923076923075,0.6538461538461539
R,185.0,101214 - Bryan Shelton,26 ~ 30,8.441176470588236,5.129411764705883,0.5979411764705883
R,185.0,101214 - Bryan Shelton,31 ~ 35,9.909090909090908,4.2727272727272725,0.5972727272727272
R,183.0,101216 - Olli Rahnasto,26 ~ 30,1.0,3.0,0.17
R,188.0,101222 - Stefan Edberg,21 ~ 25,2.9565217391304346,3.130434782608696,0.5634782608695652
R,188.0,101222 - Stefan Edberg,26 ~ 30,3.0304878048780486,3.6463414634146343,0.5484146341463414
R,188.0,101222 - Stefan Edberg,31 ~ 35,4.666666666666667,3.1666666666666665,0.555
R,188.0,101224 - Kenny Thorne,21 ~ 25,4.0,7.0,0.62
R,188.0,101224 - Kenny Thorne,26 ~ 30,4.375,3.4,0.54025
R,183.0,101226 - Johan Carlsson,21 ~ 25,1.0,2.8333333333333335,0.5216666666666666
R,183.0,101226 - Johan Carlsson,26 ~ 30,1.4705882352941178,2.235294117647059,0.5447058823529412
R,178.0,101227 - Daniel Marco,26 ~ 30,2.0,16.0,0.81
R,188.0,101230 - Andrei Chesnokov,21 ~ 25,1.8529411764705883,2.1176470588235294,0.4641176470588236
R,188.0,101230 - Andrei Chesnokov,26 ~ 30,2.995833333333333,2.745833333333333,0.5145833333333333
R,188.0,101230 - Andrei Chesnokov,31 ~ 35,3.2142857142857144,3.2142857142857144,0.5842857142857143
R,183.0,101232 - Nicklas Kroon,21 ~ 25,2.25,3.375,0.54875
R,183.0,101232 - Nicklas Kroon,26 ~ 30,2.875,3.8125,0.589375
R,188.0,101233 - Alex Antonitsch,21 ~ 25,3.5,3.15,0.5815
R,188.0,101233 - Alex Antonitsch,26 ~ 30,4.247191011235955,3.1797752808988764,0.5867415730337079
R,190.0,101234 - Patrik Kuhnen,21 ~ 25,6.103448275862069,4.448275862068965,0.5606896551724139
R,190.0,101234 - Patrik Kuhnen,26 ~ 30,6.572815533980583,3.9029126213592233,0.5538834951456311
R,190.0,101234 - Patrik Kuhnen,31 ~ 35,12.5,6.0,0.8200000000000001
R,188.0,101235 - Paul Haarhuis,21 ~ 25,3.1666666666666665,2.1944444444444446,0.43277777777777776
R,188.0,101235 - Paul Haarhuis,26 ~ 30,4.23828125,2.0390625,0.5743359374999999
R,188.0,101235 - Paul Haarhuis,31 ~ 35,5.675925925925926,2.6574074074074074,0.5747222222222222
R,193.0,101237 - Danilo Marcelino,21 ~ 25,3.375,3.375,0.39749999999999996
R,193.0,101237 - Danilo Marcelino,26 ~ 30,3.8125,2.71875,0.58625
R,180.0,101238 - Andres Vysand,21 ~ 25,1.25,3.75,0.635
R,180.0,101238 - Andres Vysand,26 ~ 30,0.3333333333333333,1.6666666666666667,0.36166666666666664
R,175.0,101242 - Brad Pearce,21 ~ 25,0.6842105263157895,3.736842105263158,0.4410526315789473
